prime_mover_code,energy_source_code,boiler_bottom_type,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator
ST,OTH,DRY,DUCTBURNER,0.0006,lb,Mcf
ST,OTH,DRY,STOKER,2.8,lb,ton
ST,OTH,DRY,STOKER,0.0006,lb,Mcf
ST,OTH,DRY,TANGENTIAL,2.8,lb,ton
ST,OTH,DRY,TANGENTIAL,0.0006,lb,Mcf
ST,OTH,DRY,VERTICAL,2.8,lb,ton
ST,OTH,DRY,VERTICAL,0.0006,lb,Mcf
CA,OTH,DRY,WALL,2.8,lb,ton
CA,OTH,DRY,WALL,0.0006,lb,Mcf
ST,OTH,DRY,WALL,2.8,lb,ton
ST,OTH,DRY,WALL,0.0006,lb,Mcf
CA,OTH,N/A,DUCTBURNER,2.8,lb,ton
CA,OTH,N/A,DUCTBURNER,0.0006,lb,Mcf
CS,OTH,N/A,DUCTBURNER,2.8,lb,ton
CS,OTH,N/A,DUCTBURNER,0.0006,lb,Mcf
CT,OTH,N/A,DUCTBURNER,2.8,lb,ton
CT,OTH,N/A,DUCTBURNER,0.0006,lb,Mcf
ST,OTH,N/A,DUCTBURNER,2.8,lb,ton
ST,OTH,N/A,DUCTBURNER,0.0006,lb,Mcf
ST,OTH,N/A,FLUIDIZED,2.8,lb,ton
ST,OTH,N/A,FLUIDIZED,0.0006,lb,Mcf
CT,OTH,N/A,N/A,2.8,lb,ton
CT,OTH,N/A,N/A,0.0006,lb,Mcf
ST,OTH,N/A,N/A,2.8,lb,ton
ST,OTH,N/A,N/A,0.0006,lb,Mcf
CA,OTH,N/A,N/A,2.8,lb,ton
CA,OTH,N/A,N/A,0.0006,lb,Mcf
CS,OTH,N/A,N/A,2.8,lb,ton
CS,OTH,N/A,N/A,0.0006,lb,Mcf
GT,OTH,N/A,N/A,2.8,lb,ton
GT,OTH,N/A,N/A,0.0006,lb,Mcf
IC,OTH,N/A,N/A,2.8,lb,ton
IC,OTH,N/A,N/A,0.0006,lb,Mcf
OT,OTH,N/A,N/A,2.8,lb,ton
OT,OTH,N/A,N/A,0.0006,lb,Mcf
ST,OTH,N/A,OTHER,2.8,lb,ton
ST,OTH,N/A,OTHER,0.0006,lb,Mcf
ST,OTH,N/A,STOKER,2.8,lb,ton
ST,OTH,N/A,STOKER,0.0006,lb,Mcf
GT,OTH,N/A,TANGENTIAL,2.8,lb,ton
GT,OTH,N/A,TANGENTIAL,0.0006,lb,Mcf
ST,OTH,N/A,TANGENTIAL,2.8,lb,ton
ST,OTH,N/A,TANGENTIAL,0.0006,lb,Mcf
ST,OTH,N/A,WALL,2.8,lb,ton
ST,OTH,N/A,WALL,0.0006,lb,Mcf
ST,OTH,WET,CYCLONE,2.8,lb,ton
ST,OTH,WET,CYCLONE,0.0006,lb,Mcf
ST,PC,DRY,FLUIDIZED,0.362*S,lb,MMBtu
ST,PC,DRY,WALL,0.362*S,lb,MMBtu
ST,PC,N/A,FLUIDIZED,0.362*S,lb,MMBtu
OT,PC,N/A,N/A,0.362*S,lb,MMBtu
ST,PC,N/A,N/A,0.362*S,lb,MMBtu
CA,PC,N/A,OTHER,0.362*S,lb,MMBtu
ST,PC,N/A,OTHER,0.362*S,lb,MMBtu
ST,PC,WET,WALL,0.362*S,lb,MMBtu
CT,PG,N/A,CC,0.0006,lb,MCf
GT,PG,N/A,N/A,0.0006,lb,MCf
ST,PG,N/A,TANGENTIAL,0.0006,lb,MCf
ST,PG,N/A,WALL,0.0006,lb,MCf
ST,PRG,DRY,WALL,0.0006,lb,Mcf
ST,PRG,N/A,DUCTBURNER,0.0006,lb,Mcf
ST,PRG,N/A,N/A,0.0006,lb,Mcf
GT,PRG,N/A,N/A,0.0006,lb,Mcf
ST,PRG,N/A,OTHER,0.0006,lb,Mcf
ST,PRG,N/A,TANGENTIAL,0.0006,lb,Mcf
ST,PRG,N/A,WALL,0.003196,lb,MMBtu
ST,PRG,N/A,WALL,0.0006,lb,Mcf
ST,RC,DRY,TANGENTIAL,38*S,lb,short tons
ST,RFO,DRY,TANGENTIAL,6.594*S,lb,barrels
ST,RFO,DRY,WALL,6.594*S,lb,barrels
CT,RFO,N/A,N/A,1.01*S,lb,MMBtu
CA,RFO,N/A,N/A,1.01*S,lb,MMBtu
CS,RFO,N/A,N/A,1.01*S,lb,MMBtu
GT,RFO,N/A,N/A,1.01*S,lb,MMBtu
IC,RFO,N/A,N/A,0.29,lb,MMBtu
ST,RFO,N/A,N/A,6.594*S,lb,barrels
ST,RFO,N/A,TANGENTIAL,6.594*S,lb,barrels
ST,RFO,N/A,WALL,6.594*S,lb,barrels
ST,RFO,WET,WALL,6.594*S,lb,barrels
ST,SGC,N/A,N/A,38*S,lb,short tons
CA,SGP,N/A,N/A,0.362*S,lb,MMBtu
CS,SGP,N/A,N/A,0.362*S,lb,MMBtu
CT,SGP,N/A,N/A,0.362*S,lb,MMBtu
,SLW,N/A,0,2.8,lb,ton
ST,SUB,N/A,CYCLONE,35*S,lb,short tons
ST,SUB,DRY,FLUIDIZED,35*S,lb,short tons
ST,SUB,DRY,TANGENTIAL,35*S,lb,short tons
ST,SUB,DRY,WALL,35*S,lb,short tons
ST,SUB,N/A,FLUIDIZED,35*S,lb,short tons
ST,SUB,N/A,N/A,35*S,lb,short tons
ST,SUB,N/A,STOKER,35*S,lb,short tons
ST,SUB,N/A,TANGENTIAL,35*S,lb,short tons
ST,SUB,N/A,WALL,35*S,lb,short tons
ST,SUB,WET,CYCLONE,35*S,lb,short tons
ST,SUB,WET,FLUIDIZED,35*S,lb,short tons
ST,SUB,WET,TANGENTIAL,35*S,lb,short tons
ST,SUB,WET,WALL,35*S,lb,short tons
ST,TDF,N/A,STOKER,38*S,lb,short tons
ST,WC,DRY,FLUIDIZED,30*S,lb,short tons
ST,WC,N/A,FLUIDIZED,30*S,lb,short tons
ST,WC,N/A,N/A,30*S,lb,short tons
ST,WDL,N/A,N/A,0.025,lb,MMBtu
ST,WDS,DRY,FLUIDIZED,0.025,lb,MMBtu
ST,WDS,DRY,STOKER,0.025,lb,MMBtu
ST,WDS,DRY,TANGENTIAL,0.025,lb,MMBtu
ST,WDS,DRY,WALL,0.025,lb,MMBtu
ST,WDS,N/A,FLUIDIZED,0.025,lb,MMBtu
OT,WDS,N/A,N/A,0.025,lb,MMBtu
ST,WDS,N/A,N/A,0.025,lb,MMBtu
OT,WDS,N/A,OTHER,0.025,lb,MMBtu
ST,WDS,N/A,OTHER,0.025,lb,MMBtu
ST,WDS,N/A,STOKER,0.025,lb,MMBtu
ST,WDS,N/A,TANGENTIAL,0.025,lb,MMBtu
ST,WDS,N/A,WALL,0.025,lb,MMBtu
ST,WDS,WET,STOKER,0.025,lb,MMBtu
ST,WDS,WET,TANGENTIAL,0.025,lb,MMBtu
ST,WO,DRY,WALL,6.174*S,lb,barrels
CA,WO,N/A,N/A,1.01*S,lb,MMBtu
CS,WO,N/A,N/A,1.01*S,lb,MMBtu
CT,WO,N/A,N/A,1.01*S,lb,MMBtu
GT,WO,N/A,N/A,1.01*S,lb,MMBtu
IC,WO,N/A,N/A,0.29,lb,MMBtu
ST,WO,N/A,N/A,6.174*S,lb,barrels
