prime_mover_code,energy_source_code,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator
ST,OBS,STOKER,2,lb,ton
GT,OG,CT,0.26382,lb,mcf
ST,OG,CYCLONE,0.15282,lb,mcf
ST,OG,DRY DUCTBURNER,0.15282,lb,mcf
ST,OG,DRY TANGENTIAL,0.15282,lb,mcf
ST,OG,DRY WALL,0.15282,lb,mcf
CA,OG,DUCTBURNER,0.15282,lb,mcf
ST,OG,DUCTBURNER,0.15282,lb,mcf
ST,OG,N/A,0.15282,lb,mcf
CA,OG,N/A,0.15282,lb,mcf
GT,OG,N/A,0.26382,lb,mcf
IC,OG,N/A,2.22641,lb,mcf
ST,OG,N/A,0.15282,lb,mcf
ST,OG,OTHER,0.15282,lb,mcf
ST,OG,TANGENTIAL,0.15282,lb,mcf
CA,OG,WALL,0.15282,lb,mcf
ST,OG,WALL,0.15282,lb,mcf
CT,OTH,CC,0.328,lb,mcf
GT,OTH,CT,0.328,lb,mcf
ST,OTH,CYCLONE,0.28,lb,mcf
ST,OTH,DRY CYCLONE,0.28,lb,mcf
CA,OTH,DRY DUCTBURNER,0.328,lb,mcf
ST,OTH,DRY DUCTBURNER,0.17,lb,mcf
ST,OTH,DRY STOKER,0.28,lb,mcf
ST,OTH,DRY TANGENTIAL,0.17,lb,mcf
ST,OTH,DRY VERTICAL,0.28,lb,mcf
CA,OTH,DRY WALL,0.328,lb,mcf
ST,OTH,DRY WALL,0.28,lb,mcf
CA,OTH,DUCTBURNER,0.328,lb,mcf
CS,OTH,DUCTBURNER,0.328,lb,mcf
CT,OTH,DUCTBURNER,0.328,lb,mcf
ST,OTH,DUCTBURNER,0.17,lb,mcf
ST,OTH,FLUIDIZED,0.28,lb,mcf
CT,OTH,N/A,0.328,lb,mcf
ST,OTH,N/A,0.17,lb,mcf
CA,OTH,N/A,0.328,lb,mcf
CS,OTH,N/A,0.328,lb,mcf
CT,OTH,N/A,0.328,lb,mcf
GT,OTH,N/A,0.328,lb,mcf
IC,OTH,N/A,2.768,lb,mcf
OT,OTH,N/A,0.328,lb,mcf
ST,OTH,OTHER,0.17,lb,mcf
ST,OTH,STOKER,0.28,lb,mcf
GT,OTH,TANGENTIAL,0.328,lb,mcf
GT,OTH,TANGENTIAL,0.328,lb,mcf
ST,OTH,TANGENTIAL,0.17,lb,mcf
ST,OTH,WALL,0.28,lb,mcf
ST,OTH,WET CYCLONE,0.28,lb,mcf
ST,PC,DRY FLUIDIZED,5,lb,ton
ST,PC,DRY WALL,21,lb,ton
ST,PC,FLUIDIZED,5,lb,ton
OT,PC,N/A,21,lb,ton
ST,PC,N/A,21,lb,ton
CA,PC,OTHER,21,lb,ton
ST,PC,OTHER,21,lb,ton
ST,PC,WET WALL,21,lb,ton
CT,PG,CC,0.80336,lb,mcf
GT,PG,N/A,0.80336,lb,mcf
ST,PG,TANGENTIAL,0.52226,lb,mcf
ST,PG,WALL,0.52226,lb,mcf
ST,PRG,DRY WALL,0.28,lb,mcf
ST,PRG,DUCTBURNER,0.17,lb,mcf
ST,PRG,N/A,0.17,lb,mcf
GT,PRG,N/A,0.17,lb,mcf
ST,PRG,N/A,0.17,lb,mcf
ST,PRG,OTHER,0.17,lb,mcf
ST,PRG,TANGENTIAL,0.17,lb,mcf
ST,PRG,WALL,0.28,lb,mcf
ST,RC,DRY TANGENTIAL,10,lb,ton
ST,RFO,DRY TANGENTIAL,1.344,lb,barrels
ST,RFO,DRY WALL,1.974,lb,barrels
CT,RFO,N/A,5.5314,lb,barrels
CA,RFO,N/A,5.5314,lb,barrels
CS,RFO,N/A,5.5314,lb,barrels
GT,RFO,N/A,5.5314,lb,barrels
IC,RFO,N/A,20.118,lb,barrels
ST,RFO,N/A,1.974,lb,barrels
ST,RFO,TANGENTIAL,1.344,lb,barrels
ST,RFO,WALL,1.974,lb,barrels
ST,RFO,WET WALL,1.974,lb,barrels
ST,SGC,N/A,0.28,lb,mcf
CA,SGP,N/A,0.28,lb,mcf
CS,SGP,N/A,0.28,lb,mcf
CT,SGP,N/A,0.28,lb,mcf
ST,SUB,CYCLONE,17,lb,ton
ST,SUB,DRY FLUIDIZED,5,lb,ton
ST,SUB,DRY TANGENTIAL,7.2,lb,ton
ST,SUB,DRY WALL,7.4,lb,ton
ST,SUB,FLUIDIZED,5,lb,ton
ST,SUB,N/A,5,lb,ton
ST,SUB,STOKER,8.8,lb,ton
ST,SUB,TANGENTIAL,7.2,lb,ton
ST,SUB,WALL,,,
ST,SUB,WET CYCLONE,17,lb,ton
ST,SUB,WET FLUIDIZED,5,lb,ton
ST,SUB,WET TANGENTIAL,7.2,lb,ton
ST,SUB,WET WALL,24,lb,ton
ST,TDF,STOKER,11,lb,ton
ST,WC,DRY FLUIDIZED,3.6,lb,ton
ST,WC,FLUIDIZED,3.6,lb,ton
ST,WC,N/A,3.6,lb,ton
ST,WDL,N/A,0.22806,lb,barrels
ST,WDS,DRY FLUIDIZED,2,lb,ton
ST,WDS,DRY STOKER,1.5,lb,ton
ST,WDS,DRY TANGENTIAL,2.51,lb,ton
ST,WDS,DRY WALL,2.51,lb,ton
ST,WDS,FLUIDIZED,2,lb,ton
OT,WDS,N/A,2,lb,ton
ST,WDS,N/A,2,lb,ton
OT,WDS,OTHER,2,lb,ton
ST,WDS,OTHER,2,lb,ton
ST,WDS,STOKER,1.5,lb,ton
ST,WDS,TANGENTIAL,2.51,lb,ton
ST,WDS,WALL,2.51,lb,ton
ST,WDS,WET STOKER,1.5,lb,ton
ST,WDS,WET TANGENTIAL,2.51,lb,ton
ST,WO,DRY WALL,0.798,lb,barrels
CA,WO,N/A,3.8724,lb,barrels
CS,WO,N/A,3.8724,lb,barrels
CT,WO,N/A,3.8724,lb,barrels
GT,WO,N/A,3.8724,lb,barrels
IC,WO,N/A,14.0784,lb,barrels
ST,WO,N/A,0.798,lb,barrels
